year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050
50000000.0,46052784.1865709,42417178.62669748,39068583.46197054,35984340.85298324,33143581.66796887,30527084.274499156,28117144.478775434,25897455.732473567,23852998.796577573,21969940.115626443,20235538.21473662,18638057.486047473,17166688.781236928,15811476.272806637,14563250.089253008,13413564.268308565,12354639.60842226,11379311.031790623,10480979.102778377,9653565.373684242,8891471.25570468,8189540.136801321,7543022.490147431,6947543.737064204,6399074.646995602,0.0
50000000.0,45764925.35237206,41888567.85016373,38340543.6156103,35093042.330755405,32120609.25309308,29399945.694810316,26909726.401735723,24630432.400563817,22544198.004168984,20634670.775797773,18886883.354503166,17287136.137155913,15822889.897464676,14482667.500325454,13255963.941112386,12133164.00477488,11105466.899332197,10164817.273023536,9303842.074408483,8515792.760511253,7794492.4000213565,7134287.256932175,6530002.475117603,5976901.516491236,5470649.034814016,0.0
50000000.0,45520635.44497376,41442565.02628403,37729837.8893219,34349723.91915561,31272425.20318756,28470813.343090206,25920190.30025408,23598070.666444223,21483983.440238733,19559291.561779212,17807027.614914063,16211744.24834167,14759377.997118225,13437125.304027718,12233329.647861559,11137378.783569906,10139611.18838942,9231230.889209041,8404229.920321314,7651317.72797375,6965856.899375158,6341804.649566239,5773659.550322886,5256413.031472784,4785505.227077641,0.0
50000000.0,46056033.757937,42423164.91024465,39076854.30449512,35994498.42003626,33155276.686663993,30540010.84669477,28131035.41046273,25912078.33019985,23868151.08627984,21985447.4433849,20251250.19271769,18653845.25032468,17182442.531285726,15827103.06529416,14578671.861310719,13428716.067808252,12369468.010894556,11393772.725549629,10495039.625563512,9667197.985716792,8904655.935496662,8202262.687360966,7555273.744411274,6959318.852461213,6410372.480024022,0.0
50000000.0,46170375.49148913,42634071.46050199,39368621.76124714,36353280.98598382,33568892.66940969,30997767.587602846,28623571.378350686,26431220.768917847,24406787.75198766,22537411.10100696,20811214.66279093,19217231.908300832,17745336.26226551,16386176.769030733,15131118.685921302,13972188.62670548,12902023.906658117,11913825.767411496,11001316.184431344,10158697.982715834,9380618.007332463,8662133.114815285,7998678.76936568,7386040.044348312,6820324.844854732,0.0
50000000.0,46233394.27894488,42803878.537330605,39656042.50759571,36747106.714858904,34043353.17445769,31517734.118317675,29148220.939931825,26916634.354272284,24807796.697898023,22808905.453413535,20909062.141945757,19098912.52241343,17370367.95878068,15716386.927662695,14130801.73186343,12608179.640720557,11143710.562469123,9733115.388488112,8372570.605884761,7058645.831840487,5788251.699754981,4558596.104461294,3367147.247442043,2211602.252024031,1089860.3705256416,0.0
50000000.0,46453080.02053191,43157772.86787881,40096229.53079031,37251867.17830834,34609279.338963665,32154152.451716416,29873188.336639296,27754032.165406518,25785205.541440904,23956044.327248342,22256640.882181536,20677790.397764415,19210941.03990273,17848147.627926443,16582028.599566672,15405726.028768389,14312868.479775384,13297536.496287096,12354230.538759358,11477841.19618175,10663621.51098377,9907161.26716789,9204363.102401283,8551420.314677564,7944796.243338381,0.0
50000000.0,46511846.83939595,43285234.04432073,40283662.06514342,37477776.10789117,34843615.03931967,32361365.924602013,30014458.519431487,27788894.106742933,25672739.46796235,23655739.510921255,21729016.65680002,19884834.664879452,18116410.99919622,16417766.235948173,14783602.069252467,13209201.635851186,11690347.431311809,10223253.218771378,8804507.162029728,7431024.033370737,6100004.8119676355,4808902.342460653,3555391.9945841893,2337346.474573615,1152814.102718941,0.0
50000000.0,46029929.104115866,42375087.46659866,39010445.437364906,35912960.756037734,33061420.75038625,30436297.064432483,28019611.921352744,25794815.00529413,23746670.118949458,21861150.840681408,20125344.466618963,18527363.57988763,17056264.641368117,15701973.044464255,14455214.12062856,13307449.623146944,12250819.254200947,11278086.834764143,10382590.748685122,9558198.321580507,8799263.822108602,8100589.79800141,7457391.482070584,6865264.0244269315,6320152.326508176,0.0
50000000.0,46144239.66348789,42585817.08242818,39301802.99434045,36271036.331560634,33473987.866532214,30892634.372118965,28510342.48607122,26311761.531307835,24282724.601384196,22410157.27377492,20681993.362750527,19087097.168988522,17615191.72492175,16256792.573461559,15003146.653388405,13846175.897608217,12778425.180840861,11793014.281333387,10883593.547055664,10044302.980706537,9269734.479888164,8554896.989137135,7895184.339263898,7286345.566768192,6724457.522078877,0.0
50000000.0,45867506.36570711,42076562.804163635,38598940.24534101,35408742.74825454,32482214.66814501,29797563.76126812,27334798.91005058,25075581.26024137,23003087.66155854,21101885.394949097,19357817.25362499,17757896.12213678,16290208.268473485,14943824.629058044,13708719.426026609,12575695.510779364,11536315.877877336,10582840.839306932,9708170.39128352,8905791.344431322,8169728.823647256,7494501.776494826,6875082.1588235935,6306857.49369201,5785596.524790518,0.0
50000000.0,45918627.52881646,42170407.08260361,38728144.311292775,35566864.670250095,32663632.223220713,29997383.23592638,27548773.352993328,25300037.24943769,23234859.738442227,21338257.40027645,19596469.873546116,17996860.020060737,16527822.23898835,15178698.265091904,13939699.840140957,12801837.696458695,11756856.33736097,10797174.141301675,9915828.355164004,9106424.577609055,8363090.365969797,7680432.63009601,7053498.504030936,6477739.411633211,5948978.065430404,0.0
50000000.0,46010330.413017444,42424508.05050916,39168238.371022694,36186012.53008344,33435263.38447209,30882630.9103563,28501484.555011652,26270226.73349343,24171099.386998434,22189324.57438444,20312472.828208633,18529990.471181344,16832840.17972126,15213223.7194491,13664365.292136315,12180340.257962108,10755938.286132012,9386552.949329646,8068091.857689385,6796902.910971664,5569713.319623976,4383578.830278912,3235841.172701648,2124092.1807014924,1046143.3690333477,0.0
