p05,p25,p50,p75,p95,year
185000000.0,185000000.0,185000000.0,185000000.0,185000000.0,2024
184981448.5161476,185000000.0,185000000.0,185000000.0,185000000.0,2025
184962898.89288843,185000000.0,185000000.0,185000000.0,185000000.0,2026
184944351.13003582,185000000.0,185000000.0,185000000.0,185000000.0,2027
184925805.2274031,185000000.0,185000000.0,185000000.0,185000000.0,2028
184907261.18480375,185000000.0,185000000.0,185000000.0,185000000.0,2029
184888719.00205114,185000000.0,185000000.0,185000000.0,185000000.0,2030
184870178.67895874,185000000.0,185000000.0,185000000.0,185000000.0,2031
184851640.21534002,185000000.0,185000000.0,185000000.0,185000000.0,2032
184833103.61100844,185000000.0,185000000.0,185000000.0,185000000.0,2033
184814568.86577746,185000000.0,185000000.0,185000000.0,185000000.0,2034
184796035.97946063,185000000.0,185000000.0,185000000.0,185000000.0,2035
184777504.9518715,185000000.0,185000000.0,185000000.0,185000000.0,2036
184758975.7828236,185000000.0,185000000.0,185000000.0,185000000.0,2037
184740448.4721305,185000000.0,185000000.0,185000000.0,185000000.0,2038
184721923.0196058,185000000.0,185000000.0,185000000.0,185000000.0,2039
184703399.4250631,185000000.0,185000000.0,185000000.0,185000000.0,2040
184684877.68831602,185000000.0,185000000.0,185000000.0,185000000.0,2041
184666357.80917823,185000000.0,185000000.0,185000000.0,185000000.0,2042
184647839.78746337,185000000.0,185000000.0,185000000.0,185000000.0,2043
184629323.62298512,185000000.0,185000000.0,185000000.0,185000000.0,2044
180610126.4600143,185000000.0,185000000.0,185000000.0,185000000.0,2045
145399470.5322474,155709039.00050023,164889874.3242215,172326889.47005206,185000000.0,2046
109049602.8991856,116781779.2503752,123667405.74316615,129245167.10253909,175665130.7667329,2047
72699735.26612365,77854519.50025004,82444937.16211069,86163444.73502597,175270281.1299192,2048
36349867.633061826,38927259.75012502,41222468.58105534,43081722.367512986,174876331.8570442,2049
0.0,0.0,0.0,0.0,0.0,2050
