p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
45484435.44232003,45782254.70237192,45992665.42903568,46150769.81200926,46623678.94131419,2025
41463652.873475455,41928501.34110011,42331806.00323327,42597871.93517735,43481017.88289945,2026
37807265.23368829,38399323.65964158,38972689.68797464,39318493.21314787,40541756.81886767,2027
34640410.20939608,35181667.987183,35898009.95609988,36294672.71925436,37781158.42759203,2028
31640884.492856197,32242593.848492328,33049064.32642439,33539243.04852426,35178740.83402195,2029
28873845.643879004,29563691.032891154,30422647.717322953,30989296.5135931,32717354.22451647,2030
26348794.043706484,27116419.12145312,28004953.186146677,28609786.290535245,30382495.08958703,2031
24044566.53271009,24879316.348611414,25779393.517315954,26384454.22558724,28161788.288146537,2032
21941850.836764716,22809717.084500283,23730699.687987827,24313687.141648717,26044589.939199403,2033
20023023.68849777,20883563.910820395,21844816.11066701,22441911.60568926,24021678.817802645,2034
18272003.106854454,19085657.185518965,20057729.184895825,20714234.07120574,22253614.872404527,2035
16674113.596624477,17449086.35512176,18409635.08397231,19099391.57497678,20530930.20719473,2036
15215963.137891011,15940095.935842237,16824123.09635267,17535570.6531393,18749416.623306043,2037
13885330.934203675,14579592.30771606,15401065.051035456,16078230.475494066,17210057.95796891,2038
12507877.739171684,13331466.606409047,14134862.104681697,14735048.838288123,15927146.913402814,2039
11182801.475972805,12129629.205747912,12889540.171515381,13502200.986381017,14692433.10375342,2040
9979360.909446184,10988050.186700588,11740368.532426871,12366386.480209328,13609791.335123315,2041
8790882.96790603,9937682.924321443,10528582.120746974,11387510.501403192,12448253.90868392,2042
7570322.544110147,8794832.890871856,9496888.746065406,10482789.36967175,11522870.410697198,2043
6398560.537127934,7544077.708630613,8669156.026310436,9655320.51780926,10666278.728775335,2044
5238020.200540961,6284717.794649236,7908333.688471333,8893168.701304512,9873364.948021285,2045
4118614.875324667,4987319.469932047,7243487.1145058125,8191178.058106323,9139395.318337565,2046
3037528.0681861057,3689909.9739708314,6634533.7222160585,7544599.7090316415,8459987.993136562,2047
1992223.0021535975,2427417.0230234577,6076774.601059001,6949059.6321852,7831086.868991054,2048
980406.7608375144,1198010.3680937756,5565905.876304841,6400529.073242555,7248937.370040862,2049
0.0,0.0,0.0,0.0,0.0,2050
