p05,p25,p50,p75,p95,year
185000000.0,185000000.0,185000000.0,185000000.0,185000000.0,2024
173715608.7433493,174385977.27104872,175444705.27116406,176548280.30821034,177490432.21634033,2025
163116495.2842576,164357459.7748627,166252827.32875112,168419247.89403266,170014647.34067938,2026
153026746.09449735,154916712.00589383,157337911.88456208,160518728.82554823,162618160.6486516,2027
143384850.17919797,145971016.61911035,148804462.09766328,153055507.54010296,155221316.12476054,2028
134174405.17870072,137313395.7167628,140404405.77757448,145482312.0855444,147855903.93462527,2029
125358428.16273236,129327633.33602534,132621513.33074066,137835812.86448663,140521658.0665169,2030
116904498.8143327,121455866.58725195,124812865.86156139,130270717.4756331,133252225.4649126,2031
108784038.10009205,114097165.73460953,117176741.60269386,122785309.74544948,126694041.81539576,2032
100971724.15362115,106573961.16224474,109852702.94876543,115984922.11219715,120838201.60000056,2033
93445015.18072143,99550535.29180753,103521595.57272285,108931340.7680974,115253020.47851461,2034
86183756.675334,92983814.53519227,97385884.20900178,101857808.06606385,109925988.47694251,2035
79169855.6689053,86695281.7635317,90822618.59150934,95162992.06181706,104845173.83790313,2036
72387008.73202382,79687051.73235759,84883184.06783903,89190769.33068797,99999196.29517516,2037
65820473.42032407,72824738.56226942,79415104.77481222,82257596.12812322,95377201.58350718,2038
59456875.092382595,66102388.768003605,73213313.86671135,76035499.49125119,90968837.12659773,2039
53284042.72530337,59514406.00840132,66575225.57757844,71550126.37859309,86764228.84878969,2040
47290868.65523449,53055523.07473099,59683384.81352189,67425679.08040364,82753959.05854021,2041
41467188.17638042,46720776.57297897,52845785.313634634,63538982.21813506,78929045.3541284,2042
35803675.71646065,40505483.995016396,46061579.88595517,59876330.85316412,75280920.5043519,2043
30291754.92261842,34405222.91311908,39329941.03453383,56424810.05775686,71801413.25914814,2044
24923520.479094777,28415812.066131216,32650060.353545252,53172249.37546241,68482730.04715873,2045
19691669.866060548,22533294.13453696,26021147.944523178,50107179.90660596,65317437.51924158,2046
14589443.580011765,16753920.026616551,19442431.8556645,47218793.867558315,62298445.89883087,2047
9610572.586893853,11074134.519329898,12913157.54220977,44496906.4811833,59418993.10185209,2048
4749231.982444217,5490563.116131594,6432587.346955046,41931920.06408343,56672629.59062226,2049
10000.0,10000.0,10000.0,39514790.18401118,54053203.927810945,2050
