year_2024,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050
50000000.0,46020640.11478501,42357986.33149118,38986832.89897077,35883980.12117588,33028074.700854693,30399462.78984539,27980054.734685455,25753200.586738918,23703575.520123634,21817074.368904755,20080714.55777732,18482546.758223888,17011572.65529816,15657669.259119878,14411519.240205767,13264546.80921619,12208858.699853163,11237189.84876409,10342853.39862975,9519694.680366414,8762048.857755521,8064701.9430185985,7422854.915053328,6832090.693398644,6288343.74064942,5787872.084129759
50000000.0,45736019.10738772,41835668.8758267,38267939.02150311,35004463.80575629,32019296.50927864,29288703.139069617,26790973.72798189,24506249.726570047,22416366.114896458,20504706.97898206,18756073.4036422,17156562.63137093,15693457.526509497,14355125.465868324,13130925.851918032,12011125.513220292,10986821.31947751,10049869.395941561,9192820.374390688,8408860.165878313,7691755.784359242,7035805.790456287,6435794.961363559,5886952.826483067,5384915.739126393,4925692.1827271525
50000000.0,45494459.82956909,41394917.503685504,37664788.23039493,34270783.90273858,31182616.03181966,28372725.448809933,25816036.36372552,23489732.58616411,21373053.91097126,19447110.851757932,17694716.068929564,16100230.987870937,14649426.238489555,13329354.670663968,12128235.812372021,11035350.73939,10040946.41836768,9136148.66962568,8312882.972945132,7563802.409611222,6882222.097657113,6262059.5352006825,5697780.319491153,5184348.75725599,4717182.925589182,4292113.782338925
50000000.0,46023848.66150534,42363892.91234294,38994987.92219781,35893988.45376921,33039589.849081885,30412181.66104706,27993712.92468476,25767568.14238635,23718453.131204315,21832289.947911095,20096120.16993529,18498015.86769054,17026997.656654276,15672959.26619325,14426598.106904317,13279351.359450478,12223337.145806082,11251300.378742713,10356562.917527849,9532977.687393198,8774886.447561836,8077080.917689603,7434766.995649579,6843531.820826621,6299313.45663841,5798372.983994204
50000000.0,46136726.77141596,42571951.1436058,39282609.560772195,36247420.48347118,33446746.70029072,30862468.278081425,28477865.3287467,26277509.834111318,24247165.828991797,22373697.29666816,20644983.180854935,19049838.964311637,17577944.306718394,16219776.273644665,14966547.724612784,13810150.461636342,12743102.770413198,11758501.01477255,10849974.971199568,10011646.614458723,9238092.087665074,8524306.610755663,7865672.100324176,7257927.291324119,6697140.167332482,6179682.521001871
50000000.0,45820011.53230474,41989469.13641079,38479159.20131392,35262310.36715188,32314389.35357216,29612913.856801238,27137281.08847559,24868610.648586933,22789600.534212995,20884395.185885154,19138464.565249346,17538493.341806613,16072279.343616577,14728640.497498697,13497329.549011217,12368955.91182023,11334914.050443435,10387317.850180024,9518940.473699272,8723159.24560446,7993905.14463454,7325616.518306097,6713196.66700055,6151974.974011897,5637671.285113505,5166363.265984882
50000000.0,46419971.34789855,43096274.798794456,40010556.827224016,37145778.030664116,34486119.037576556,32016893.152490456,29724465.25574673,27596176.51006738,25620274.458177578,23785848.125478007,22082767.769403115,20501628.942759804,19033700.562163156,17670876.694801886,16405631.797299037,15230979.159495894,14140432.32368479,13127969.266246928,12187999.143905506,11315331.420966111,10505147.207064463,9752972.647147778,9054654.216748763,8406335.786132129,7804437.326661354,7245635.1418018
50000000.0,45964009.454228535,42253803.30216821,38843084.289159454,35707677.869966425,32825360.864073683,30175703.941894926,27739926.825465195,25500765.1773058,23442348.233994916,21550086.317133203,19810567.42440303,18211462.16777786,16741436.385101339,15390070.80564327,14147787.200236678,13005780.492561845,11955956.350394676,10990873.814477693,10103692.55837771,9288124.405517831,8538388.759745449,7849171.633536371,7215587.983434565,6633147.085768085,6097720.707230655,5605513.8447279
50000000.0,45998072.62519754,42316453.70465894,38929506.21495423,35813645.08277087,32947172.94980686,30310129.082803193,27884150.37659787,25652343.48229356,23599167.17010104,21710324.1076897,19972661.300441753,18374078.500323843,16903443.94557954,15550516.844494464,14305876.06344828,13160854.522671381,12107478.84286995,11138413.822447496,10246911.358688878,9426763.457218654,8672259.002514036,7978143.988443276,7339584.93189394,6752135.214721257,6211704.119638043,5714528.3444269905
50000000.0,46110928.80340811,42524355.102259435,39216750.21062258,36166415.53726115,33353340.238262437,30759069.94164732,28366585.682767,26160192.256276898,24125415.252253044,22248906.100985926,20518354.503525484,18922407.673503034,17450595.860439233,16093263.665955234,14841506.702306729,13687113.177707395,12622510.02522909,11640713.221872875,10735281.97189343,9900276.453809772,9130218.853913601,8420057.43064689,7765133.374103323,7161150.243244929,6604145.78033551,6090465.917687578
50000000.0,45860306.59065813,42063354.411783226,38580766.59111782,35386515.68742567,32456729.172009498,29769511.01516626,27304778.044189982,25044109.849928465,22970611.12015681,21068785.370903444,19324419.132048097,17724475.721642107,16256997.81506367,14911018.080849584,13676477.215332175,12544148.763505677,11505570.16426391,10552979.504669433,9679257.510581436,8877874.340103902,8142840.7822100315,7468663.49582133,6850303.954816454,6283140.792141609,5762935.261597697,5285799.559179698
50000000.0,45888146.79513226,42114440.325832136,38651072.39733245,35472521.679161526,32555365.64013751,29878107.949276693,27421020.07074434,25165995.885571685,23096418.26885616,21197036.639260918,19453854.57848404,17854026.692572627,16385763.955059648,15038246.834403282,13801545.565570613,12666546.97825222,11624887.342509538,10668890.736999052,9791512.485612784,8986287.245723395,8247281.3654996,7569049.159216087,6946592.778353604,6375325.382781917,5851037.340636589,5369865.20781864
50000000.0,45687167.416670986,41746345.33117846,38145445.36359422,34855146.97020011,31848658.69920409,29101500.039739035,26591302.087836295,24297625.406284988,22201793.595290016,20286741.21876777,18536874.848010458,16937946.091258626,15476935.575317616,14141946.934531339,12922109.943912208,11807492.007682918,10789017.28252028,9858392.776957214,9008040.825202882,8231037.385545025,7521055.6609254675,6872314.582616055,6279531.737520182,5737880.355807667,5242950.008652253,4790710.696050641
50000000.0,45168211.003908016,40803345.705871135,36860282.57016382,33298260.415856652,30080457.050529823,27173608.62304647,24547665.76046754,22175482.934444122,20032537.845930666,18096677.927375384,16347891.341869123,14768100.111970106,13340973.239686066,12051757.88575261,10887126.863033725,9835040.867516449,8884624.022720829,8026051.450972889,7250447.709315311,6549795.04014311,5916850.488110682,5345071.026511189,4828545.919126651,4361935.618343429,3940416.5678959596,3559631.339640395
50000000.0,45504079.75711711,41412425.4908415,37688686.24941844,34299779.70068999,31215598.223034874,28408741.424142044,25854272.71126952,23529497.750317298,21413762.84550692,19488271.44843876,17735917.166362107,16141131.786075277,14689746.963274153,13368868.34857392,12166761.031918123,11072745.287643736,10077101.693983665,9170984.784072252,8346344.461314624,7595854.480960666,6912847.362501793,6291255.154641163,5725555.526583313,5210722.706708995,4742182.8327661455,4315773.316900444
50000000.0,46076172.166033454,42460272.82947912,39128136.822156645,36057495.37507605,33227827.295559183,30620221.823468212,28217252.25000512,26002859.454472616,23962244.58066902,22081770.135670155,20348868.85003828,18751959.69036798,17280370.462878287,15924266.49080838,14674584.888965689,13522973.996181117,12461737.560896693,11483783.306876037,10582575.535300825,9752091.446491487,8986780.889348881,8281529.269521165,7631623.368410048,7032719.844583711,6480816.20709038,5972224.066686327
