p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
45492690.905578755,46054285.51129325,46392206.49054843,46651331.42369847,47069141.524665885,2025
41565100.282075234,42498828.65813224,43077354.76042311,43529638.967926726,44274938.84291762,2026
38084955.98746614,39263332.00116666,40011423.095025636,40606096.81062757,41605213.84994726,2027
34960655.45837467,36294932.72913571,37159623.37449157,37857044.07695715,39049347.14475923,2028
32126132.05512435,33552874.98068067,34493986.55876252,35262820.15078304,36598022.872199565,2029
29532165.38465457,31005073.561084766,31991689.216331393,32806910.83429844,34243023.73074446,2030
27141099.83033952,28625816.43661682,29633863.881285727,30475310.824452538,31977064.75681934,2031
24923483.22926488,26394181.154744543,27404734.51247929,28256039.90209923,29793657.403461065,2032
22855844.472445693,24292914.481905147,25290975.94389102,26138770.39853622,27686997.519909777,2033
20919176.190236628,22307621.610038195,23281231.102724507,24114536.57258877,25651872.359558024,2034
19097870.02867223,20426167.640290745,21365741.545674503,22175505.193513427,23683582.864620008,2035
17378951.596252434,18638227.95674131,19536060.821468692,20314792.484803915,21777878.311460543,2036
15751519.240333026,16934945.142401107,17784829.330737025,18526316.6218657,19930901.029951815,2037
14206324.770294232,15308663.508166697,16105595.499416389,16804677.805994645,18139139.38901655,2038
12735455.111925999,13752721.074331498,14492672.283342168,15145059.950368002,16399387.608051786,2039
11332087.071193151,12261284.701144993,12941020.944834877,13543149.466511441,14708711.238472028,2040
9990295.941225562,10829218.054453706,11446156.10851318,11995067.701617248,13064417.381669726,2041
8704904.361299641,9451974.85885138,10004067.585784394,10497314.36261216,11464028.884289851,2042
7471361.678026684,8125511.840364439,8611155.534963286,9046719.850393813,9905261.889969174,2043
6285646.70756045,6846217.1551817125,7264176.316980375,7640404.871610208,8386006.236895766,2044
5144188.654565376,5610851.11202764,5960196.996972014,6275746.034045789,6904308.278944078,2045
4043802.2655944456,4416496.7381307855,4696556.886173414,4950346.392374331,5458355.779472815,2046
2981634.2488227487,3260518.290133056,3470834.8559766896,3662010.1133835167,4046464.5847559893,2047
1955118.6899212466,2140526.2252643863,2280821.4147635205,2408720.588063514,2667066.8312402703,2048
961939.7102598305,1054347.4620369629,1124494.7382372695,1188621.4426884616,1318700.4795419718,2049
10000.0,10000.0,10000.0,10000.0,10000.0,2050
