p05,p25,p50,p75,p95,year
50000000.0,50000000.0,50000000.0,50000000.0,50000000.0,2024
39543741.70536677,39957378.570415236,40373286.65674443,40726782.87372456,41254539.591732666,2025
31274209.528751347,31931842.457444668,32600045.51010721,33173424.600651182,34038782.10230054,2026
24734079.190473005,25518255.010686785,26323419.64926722,27020949.816397455,28085153.92806624,2027
19561672.20764244,20392852.309848666,21255259.347187847,22009542.51303917,23172886.352889713,2028
15470951.78255116,16296899.240905505,17162893.573337197,17927573.889834166,19119828.05554806,2029
12235702.620795874,13023628.29241384,13858448.44351358,14602665.192385968,15775689.8789863,2030
9677019.572024873,10407801.728854246,11190222.234106787,11894408.112206664,13016471.304877412,2031
7653413.0277697295,8317370.22873634,9035721.001668397,9688435.32030173,10739861.909930855,2032
6052983.765522871,6646806.906953772,7296035.084364591,7891590.726779478,8861447.244897237,2033
4787234.404736818,5311780.216032626,5891298.319600763,6427995.501618616,7311578.414883721,2034
3786175.172178396,4244896.808921081,4757021.517853109,5235843.721018784,6032789.257306781,2035
2994453.2696690946,3392299.45873776,3841131.868429038,4264792.316833181,4977665.324796454,2036
2368291.757586886,2710948.295054166,3101582.3610697463,3473835.1047464013,4107085.6380862077,2037
1873068.6449703653,2166448.110806721,2504421.475812505,2829571.110065582,3388772.0000114823,2038
1481402.2888110427,1731312.0601367494,2022234.5237005698,2304794.061598419,2796092.0690775155,2039
1171637.2101447876,1383574.0969136385,1632885.0828171142,1877343.4873285284,2307071.8027939154,2040
926646.5820897815,1105680.1084780234,1318498.7510099132,1529168.8932683533,1903580.6462295086,2041
732885.1602025079,883601.7679561483,1064642.561040299,1245567.5055356782,1570659.2480581286,2042
579640.2773418282,706128.3715521556,859662.386434936,1014563.3853907445,1295964.7723932057,2043
458439.479886287,564300.912083229,694147.9194162425,826401.6972319072,1069313.2360194677,2044
362582.04561109206,450959.82024826965,560500.6589147919,673136.7725118,882301.8989943686,2045
286768.4750206915,360383.5431793347,452585.07569306315,548296.5735730568,727997.7054797302,2046
226807.46643646216,287999.715379602,365446.9401363769,446609.3877926258,600680.2211953449,2047
179384.17037321604,230154.34168556338,295085.8815961102,363781.2104210331,495629.53491607425,2048
141876.9077304651,183927.34039396988,238271.73785303254,296314.41509087215,408951.2589229174,2049
0.0,0.0,0.0,0.0,0.0,2050
